V2,R1,Ibias,Itail,Vout,Vnet1,Gm_S,Gm_dBS,Gain_dB,Zout_ohm,f3dB_Hz,UGBW_Hz,fGm_5deg_Hz,GmHF_ratio
3,20000000,-0.000000120648,0.000000140574,4.20654,4.20654,0.00000182306,-114.784,43.2605,79840800,39.7614,5808.76,514554,3.14811
3,40000000,-0.0000000610536,0.0000000718324,4.24014,4.24014,0.000000965406,-120.306,43.4258,153667000,20.6595,3075.74,281818,5.62361
3,80000000,-0.0000000308834,0.0000000366473,4.27271,4.27271,0.00000050751,-125.891,43.57,297208000,10.6818,1616.42,150568,10.3482
3,100000000,-0.0000000247974,0.0000000295015,4.28298,4.28298,0.000000411221,-127.719,43.6076,368388000,8.61789,1310.49,122662,12.6724
4,10,-0.00351556,0.00119632,1.04672,1.04672,0.000254993,-71.8694,-4.29594,2391.52,1327500,0,207966000,1
4,20,-0.0034625,0.00119423,1.04985,1.04985,0.000255558,-71.8502,-4.22719,2405.2,1319960,0,207349000,1
4,40,-0.00336133,0.00119008,1.05606,1.05606,0.000256694,-71.8117,-4.08961,2432.78,1305010,0,206103000,1
4,80,-0.00317685,0.00118188,1.06834,1.06834,0.000258997,-71.7341,-3.81411,2488.86,1275610,0,203573000,1
4,100,-0.00309249,0.00117784,1.07442,1.07442,0.000260162,-71.6951,-3.67614,2517.38,1261150,0,202289000,1
4,200,-0.00273362,0.00115806,1.10421,1.10421,0.000266148,-71.4976,-2.98285,2665.23,1191180,0,195781000,1
4,400,-0.00222886,0.00112042,1.16145,1.16145,0.000279014,-71.0875,-1.56471,2993.22,1060680,0,182181000,1
4,800,-0.00164388,0.00104963,1.27103,1.27103,0.000309651,-70.1825,1.53967,3855.76,823450,538063,153291000,1
4,1000,-0.00145779,0.00101519,1.32534,1.32534,0.000328294,-69.6747,3.31538,4461.76,711618,763514,138465000,1
4,2000,-0.000942673,0.000839029,1.61467,1.61467,0.000441385,-67.1036,14.9665,12691.4,250181,1383500,80431300,1
4,4000,-0.000563355,0.000545036,2.15676,2.15676,0.000453968,-66.8595,26.8433,48433.1,65553.1,1444690,55773600,1
4,8000,-0.000318006,0.000314666,2.67249,2.67249,0.000385955,-68.2693,32.1475,104914,30259.4,1229190,43109400,1
4,10000,-0.000262155,0.000260752,2.81432,2.81432,0.00036163,-68.8347,33.3515,128620,24682.3,1151860,39641600,1
4,20000,-0.000140921,0.000142103,3.18162,3.18162,0.00028863,-70.7932,36.3898,228639,13884.9,919568,30342600,1
4,40000,-0.0000739953,0.0000755081,3.45311,3.45311,0.000224146,-72.9894,38.8025,388683,8167.97,713524,22855100,1
4,80000,-0.0000382492,0.0000394754,3.65,3.65,0.000167691,-75.5098,40.7141,647433,4903.35,534474,16996400,1
4,100000,-0.0000308566,0.0000319634,3.70071,3.70071,0.000150927,-76.4247,41.2085,761483,4169.09,480991,15414600,1
4,200000,-0.0000157568,0.0000165197,3.82759,3.82759,0.000103881,-79.6693,42.3397,1260230,2519.11,331080,11257200,1
4,400000,-0.00000800567,0.00000850711,3.9195,3.9195,0.0000665148,-83.5416,42.9125,2102350,1510.01,212005,7992920,1
4,800000,-0.00000405545,0.00000437539,3.9885,3.9885,0.0000399765,-87.9639,43.0826,3567180,889.946,127280,5469920,1
4,1000000,-0.00000325668,0.00000353197,4.00734,4.00734,0.0000335652,-89.4822,43.0839,4249180,747.115,106979,4809100,1
4,2000000,-0.00000164622,0.00000181565,4.0586,4.0586,0.0000190069,-94.4218,43.019,7448010,426.234,60573.6,3189790,1
4,4000000,-0.000000831426,0.000000932516,4.1023,4.1023,0.00001049,-99.5845,42.9668,13414200,236.66,33435.1,2102030,1
4,8000000,-0.000000419687,0.000000478046,4.14144,4.14144,0.00000569482,-104.89,43.003,24812500,127.947,18138.1,1350640,1.2618
4,10000000,-0.00000033675,0.000000385321,4.15339,4.15339,0.00000466858,-106.616,43.0352,30379100,104.5,14880,1157760,1.454
4,20000000,-0.0000001699,0.000000196872,4.1892,4.1892,0.00000250003,-112.041,43.1767,57662000,55.0537,7955.92,685124,2.39293
4,40000000,-0.0000000856927,0.000000100353,4.22355,4.22355,0.00000132784,-117.537,43.3462,110704000,28.6771,4232.25,381971,4.18827
4,80000000,-0.0000000432087,0.0000000510636,4.25679,4.25679,0.00000069706,-123.135,43.5023,214706000,14.7863,2219.14,205486,7.64284
4,100000000,-0.0000000346589,0.0000000410706,4.26727,4.26727,0.000000565946,-124.944,43.5475,265828000,11.9426,1802.08,167601,9.32191
5,10,-0.00508357,0.00123919,0.983097,0.983097,0.000244416,-72.2374,-5.64035,2137.23,1485430,0,219412000,1
5,20,-0.00500399,0.00123765,0.985372,0.985372,0.000244766,-72.225,-5.59402,2145.6,1479640,0,219043000,1
5,40,-0.0048523,0.00123457,0.989922,0.989922,0.00024547,-72.2,-5.50102,2162.47,1468110,0,218296000,1
5,80,-0.0045757,0.00122842,0.999005,0.999005,0.000246901,-72.1495,-5.31387,2196.76,1445200,0,216768000,1
5,100,-0.00444927,0.00122536,1.00353,1.00353,0.000247627,-72.124,-5.21984,2214.17,1433850,0,215989000,1
5,200,-0.00391222,0.00121026,1.02595,1.02595,0.000251349,-71.9945,-4.74648,2303.56,1378150,0,211957000,1
5,400,-0.00316108,0.00118114,1.06945,1.06945,0.000259209,-71.727,-3.78893,2494.04,1272960,0,203331000,1
5,800,-0.00230134,0.00112677,1.15175,1.15175,0.000276697,-71.1599,-1.81377,2932.97,1082440,0,184586000,1
5,1000,-0.00203118,0.00110093,1.19136,1.19136,0.000286534,-70.8565,-0.772741,3192.91,994343,0,174568000,1
5,2000,-0.00129392,0.000976075,1.38784,1.38784,0.000352741,-69.0509,5.59181,5396.77,588340,955948,121962000,1
5,4000,-0.000762904,0.000717302,1.82831,1.82831,0.000468854,-66.5792,21.3077,24794,128058,1489030,66280600,1
5,8000,-0.00042602,0.000417546,2.4277,2.4277,0.000422642,-67.4805,29.8878,73861.1,42981.9,1346450,49016700,1
5,10000,-0.000350188,0.000345518,2.59597,2.59597,0.000398166,-67.9987,31.4723,94091.3,33740.7,1267060,44955900,1
5,20000,-0.000186885,0.000187357,3.02975,3.02975,0.000320582,-69.8812,35.1264,177984,17837.1,1020990,34268800,1
5,40000,-0.0000976338,0.0000991387,3.34759,3.34759,0.00025054,-72.0225,37.8326,310996,10208.4,797367,25842700,1
5,80000,-0.0000502844,0.000051655,3.57657,3.57657,0.000190149,-74.4181,39.9916,525394,6042.29,605976,19228600,1
5,100000,-0.0000405252,0.0000417831,3.63535,3.63535,0.000172333,-75.2726,40.57,619634,5123.62,548976,17445700,1
5,200000,-0.0000206364,0.0000215286,3.78179,3.78179,0.000121695,-78.2945,41.9596,1029700,3083.05,387702,12798700,1
5,400000,-0.0000104588,0.0000110529,3.8866,3.8866,0.0000799625,-81.9423,42.7453,1715440,1850.63,254619,9188040,1
5,800000,-0.00000528594,0.00000566823,3.96375,3.96375,0.0000490611,-86.1853,43.0519,2896410,1096.03,156230,6366430,1
5,1000000,-0.00000424178,0.0000045716,3.98447,3.98447,0.00004141,-87.6579,43.0799,3442630,922.168,131980,5613750,1
5,2000000,-0.00000213954,0.0000023444,4.04003,4.04003,0.0000237373,-92.4914,43.0497,5984870,530.44,75656.4,3738850,1
5,4000000,-0.00000107832,0.00000120184,4.08634,4.08634,0.0000131793,-97.6022,42.978,10690700,296.95,42006.5,2466150,1
5,8000000,-0.000000543204,0.00000061528,4.12707,4.12707,0.00000717927,-102.878,42.9773,19623900,161.776,22867.3,1604520,1.0833
5,10000000,-0.000000435579,0.000000495757,4.13939,4.13939,0.00000588857,-104.6,42.9985,23983400,132.366,18768.8,1385220,1.23322
5,20000000,-0.000000219336,0.000000253029,4.17604,4.17604,0.00000315966,-110.007,43.1181,45317400,70.052,10057.4,840087,1.96938
5,40000000,-0.00000011042,0.000000128831,4.21097,4.21097,0.00000167952,-115.496,43.2826,86886000,36.5388,5353.02,476837,3.38653
5,80000000,-0.0000000555764,0.0000000654692,4.24469,4.24469,0.000000883751,-121.073,43.4473,168279000,18.865,2812.5,258779,6.10879
5,100000000,-0.0000000445541,0.0000000526334,4.25532,4.25532,0.000000717538,-122.883,43.4958,208425000,15.2315,2285.44,211374,7.43575
